Name,Population,Workers,School,Households,Households,Households,Age,Means of transportation to work,Means of transportation to work,Means of transportation to work,Means of transportation to work,Means of transportation to work,Means of transportation to work
State,Total,Percent,Percent,Total,Mean income (dollars),Average size,Average,"Car, truck, or van",Public transportation (excluding taxicab),Walked,Bicycle,"Taxicab, motorcycle, or other means",Worked from home
Alabama,5074296,0.445329362,0.238666999,2016448,82956,2.45,40.23,88.5,0.3,1.2,0.1,1.1,8.9
Alaska,733583,0.490234915,0.230785065,274574,109524,2.56,37.41,76.5,1.2,7.3,0.4,5.2,9.5
Arizona,7359197,0.462404662,0.23374398,2850377,101316,2.53,40.28,75.9,0.8,1.7,0.5,1.9,19.2
Arkansas,3045637,0.43336353,0.229299158,1216207,76853,2.44,39.79,88.1,0.3,1.5,0.1,1.2,8.8
California,39029342,0.476883879,0.251621126,13550586,131504,2.82,39.27,75.3,2.7,2.4,0.7,1.7,17.2
Colorado,5839926,0.534596329,0.231991809,2384584,119039,2.4,39.30,72.6,1.6,2.5,1,1.1,21.2
Connecticut,3626205,0.503981987,0.240654348,1433635,128160,2.45,41.30,76.6,3.3,2.7,0.2,1.3,15.9
Delaware,1018396,0.482886814,0.227314326,402334,105438,2.47,42.00,79.9,1.4,2.1,0.4,1.1,15.1
District of Columbia,671803,0.556625975,0.248815501,326970,148872,1.94,37.53,32.2,18.7,9.7,3,2.7,33.8
Florida,22244823,0.466432931,0.21466833,8826394,99349,2.47,42.81,78.7,1.2,1.4,0.5,1.9,16.4
Georgia,10912876,0.477861473,0.254026803,4092467,99863,2.61,38.70,79.5,1.1,1.3,0.2,1.6,16.3
Hawaii,1440196,0.485274921,0.222555819,494827,120969,2.83,41.63,79.1,3.5,4.5,0.9,2.5,9.5
Idaho,1939033,0.470110101,0.256871853,717151,94503,2.63,38.86,81.1,0.6,2.9,0.7,1.4,13.1
Illinois,12582032,0.492111767,0.237888125,5056360,106728,2.43,40.11,74,5.6,2.6,0.6,1.4,15.8
Indiana,6833037,0.481234186,0.24072122,2726489,88805,2.44,39.39,85.4,0.7,1.9,0.4,1.1,10.5
Iowa,3200517,0.50960048,0.24375968,1330995,92695,2.33,40.07,84.1,0.8,2.9,0.4,0.9,11
Kansas,2937150,0.494408866,0.252697343,1175294,93221,2.43,39.10,83.6,0.5,2.2,0.3,1.3,12.1
Kentucky,4512310,0.450921812,0.225648061,1828680,82614,2.4,40.03,85.8,0.5,1.9,0.1,1.2,10.5
Louisiana,4590241,0.439908711,0.245419358,1816902,79175,2.46,39.44,87.1,0.8,2.1,0.3,1.6,8.2
Maine,1385340,0.492722364,0.196737985,605338,93555,2.23,44.03,78.2,0.5,3.8,0.5,1.4,15.7
Maryland,6164660,0.509871266,0.245183514,2375984,125876,2.54,40.20,73,4,1.8,0.3,1.7,19.2
Massachusetts,6981974,0.520925887,0.237647405,2797776,133823,2.41,41.12,68.7,6.2,4,0.8,1.9,18.4
Michigan,10034118,0.469006643,0.228408018,4089794,91856,2.4,40.92,81.9,0.8,2,0.4,1.2,13.7
Minnesota,5717184,0.517720262,0.237592843,2322190,109737,2.4,39.94,77,1.6,2.6,0.5,1.2,17.2
Mississippi,2940057,0.425424065,0.244107512,1148340,72624,2.48,39.61,91.5,0.3,1.5,0.1,1.2,5.5
Missouri,6177957,0.478368658,0.232080605,2521832,88586,2.38,40.21,83.4,0.8,1.6,0.2,1.1,12.9
Montana,1122867,0.491387671,0.213679804,464072,90874,2.36,41.21,80.3,0.5,4.4,1,1.3,12.6
Nebraska,1967923,0.516199567,0.26136795,803157,94599,2.39,38.90,85.2,0.4,2.3,0.3,1,10.8
Nevada,3177772,0.474009149,0.219598196,1198356,98422,2.62,39.91,81.2,2.2,1.4,0.3,2.7,12.2
New Hampshire,1395231,0.528802041,0.201120101,557220,119452,2.44,42.96,78.9,0.3,2.1,0.3,1.1,17.3
New Jersey,9261699,0.498256205,0.242618876,3516978,134191,2.59,40.64,69.8,8,3,0.3,2.2,16.7
New Mexico,2113344,0.443748391,0.238493118,848218,82382,2.44,40.57,83.4,0.7,2.2,0.5,1.3,12
New York,19677151,0.477705843,0.234124493,7774308,119130,2.45,40.90,55.6,21.5,5.6,0.8,2.1,14.5
North Carolina,10698973,0.479557524,0.232152095,4299266,94353,2.42,40.13,79.7,0.5,1.6,0.2,1.2,16.8
North Dakota,779261,0.525929053,0.25805603,331481,97699,2.26,38.45,87.5,0.3,3.4,0.3,0.8,7.6
Ohio,11756058,0.481493201,0.230346176,4878206,90109,2.35,40.57,82.6,1,1.9,0.3,1.2,13
Oklahoma,4019800,0.455050251,0.248928554,1573180,82741,2.48,38.72,87.2,0.3,1.7,0.2,1.2,9.4
Oregon,4240137,0.484677736,0.21457184,1726340,102923,2.4,41.34,72.7,2.1,3.6,1.3,1.4,19
Pennsylvania,12972008,0.484422227,0.22429334,5294065,100015,2.37,41.54,76.2,3.4,3.2,0.5,1.5,15.2
Rhode Island,1093734,0.503252162,0.238708863,446688,108023,2.35,41.56,80.2,1.4,2.9,0.4,1.7,13.4
South Carolina,5282634,0.463462545,0.226480767,2136080,88704,2.41,40.93,84.9,0.4,1.6,0.2,1.5,11.4
South Dakota,909824,0.505305422,0.241830288,368300,90806,2.38,39.56,85.7,0.5,2.5,0.2,1.2,9.9
Tennessee,7051339,0.476859501,0.226462236,2846684,89799,2.43,40.00,83.6,0.4,1.2,0.1,1.4,13.3
Texas,30029572,0.481118912,0.260319128,11087708,101738,2.65,37.14,81.2,0.8,1.5,0.2,1.7,14.5
Utah,3380800,0.507413926,0.298477875,1129660,114044,2.95,34.92,77.3,1.4,1.8,0.5,1,18
Vermont,647064,0.521939097,0.220174511,277090,97261,2.25,43.11,77.1,0.6,4.2,0.7,0.8,16.5
Virginia,8683619,0.500954153,0.23977929,3380607,119058,2.5,39.91,76,1.9,2.2,0.3,1.5,18.2
Washington,7785786,0.493667434,0.224271255,3079953,125847,2.48,39.80,71.6,3.1,3.1,0.6,1.1,20.5
West Virginia,1775156,0.409464295,0.204421471,736341,75265,2.34,42.42,86.6,0.6,2.4,0.1,1.3,9.1
Wisconsin,5892539,0.507699313,0.229108199,2491121,94085,2.31,40.97,81.7,1.1,2.7,0.5,1.1,13
Wyoming,581381,0.493985872,0.240197048,243321,90018,2.33,40.23,84.4,1,3.5,0.9,1.1,9.1